,age,continent,contract_until,position,prefer_foot,reputation,stat_overall,stat_potential,stat_skill_moves,value,contract_until_year,value_won,age_clean,age_obj,won_clean,won_round,won_obj
87,29,europe,2022,MF,right,3.0,84,84,4.0,24000000.0,2022,31191600000,3.0,25~30,5.0,3119.2,100억이상
88,34,south america,2020,ST,right,3.0,84,84,3.0,16500000.0,2020,21444225000,4.0,30~35,5.0,2144.4,100억이상
89,32,south america,2020,ST,right,3.0,84,84,3.0,25000000.0,2020,32491250000,4.0,30~35,5.0,3249.1,100억이상
90,31,europe,2023,GK,right,2.0,84,84,1.0,19000000.0,2023,24693350000,4.0,30~35,5.0,2469.3,100억이상
91,34,europe,2020,MF,right,3.0,84,84,5.0,15500000.0,2020,20144575000,4.0,30~35,5.0,2014.5,100억이상
92,34,europe,2019,MF,left,4.0,84,84,4.0,15500000.0,2019,20144575000,4.0,30~35,5.0,2014.5,100억이상
93,21,europe,2022,ST,left,3.0,83,92,4.0,40000000.0,2022,51986000000,2.0,20~25,5.0,5198.6,100억이상
94,21,south america,2023,ST,right,2.0,83,92,4.0,41000000.0,2023,53285650000,2.0,20~25,5.0,5328.6,100억이상
95,26,south america,2021,ST,right,1.0,83,83,4.0,28000000.0,2021,36390200000,2.0,20~25,5.0,3639.0,100억이상
96,23,africa,2023,MF,right,2.0,83,88,4.0,34000000.0,2023,44188100000,2.0,20~25,5.0,4418.8,100억이상
97,22,europe,2023,MF,left,3.0,83,89,4.0,35500000.0,2023,46137575000,2.0,20~25,5.0,4613.8,100억이상
98,22,europe,2023,MF,right,2.0,83,87,5.0,34000000.0,2023,44188100000,2.0,20~25,5.0,4418.8,100억이상
99,22,europe,2023,DF,right,2.0,83,88,2.0,29500000.0,2023,38339675000,2.0,20~25,5.0,3834.0,100억이상
100,24,south america,"Dec 31, 2018",MF,left,2.0,83,90,4.0,36500000.0,2018,47437225000,2.0,20~25,5.0,4743.7,100억이상
101,22,europe,2020,ST,right,3.0,83,87,3.0,34500000.0,2020,44837925000,2.0,20~25,5.0,4483.8,100억이상
102,23,europe,2022,MF,right,3.0,83,88,3.0,34000000.0,2022,44188100000,2.0,20~25,5.0,4418.8,100억이상
103,26,europe,2023,MF,right,2.0,83,84,5.0,30500000.0,2023,39639325000,2.0,20~25,5.0,3963.9,100억이상
104,25,africa,2021,MF,left,3.0,83,86,4.0,32500000.0,2021,42238625000,2.0,20~25,5.0,4223.9,100억이상
105,24,europe,2021,MF,right,3.0,83,86,4.0,33000000.0,2021,42888450000,2.0,20~25,5.0,4288.8,100억이상
106,26,europe,2023,ST,left,1.0,83,85,4.0,32000000.0,2023,41588800000,2.0,20~25,5.0,4158.9,100억이상
107,29,south america,2021,DF,right,3.0,83,83,2.0,20000000.0,2021,25993000000,3.0,25~30,5.0,2599.3,100억이상
108,24,europe,"Jun 30, 2019",MF,right,3.0,83,89,4.0,35000000.0,2019,45487750000,2.0,20~25,5.0,4548.8,100억이상
109,26,europe,2022,MF,right,2.0,83,84,4.0,30000000.0,2022,38989500000,2.0,20~25,5.0,3899.0,100억이상
110,22,europe,2020,ST,right,2.0,83,88,4.0,34500000.0,2020,44837925000,2.0,20~25,5.0,4483.8,100억이상
111,25,south america,2022,MF,right,3.0,83,85,4.0,31500000.0,2022,40938975000,2.0,20~25,5.0,4093.9,100억이상
112,28,europe,2021,DF,right,2.0,83,85,2.0,24500000.0,2021,31841425000,3.0,25~30,5.0,3184.1,100억이상
113,25,europe,2023,GK,left,2.0,83,87,1.0,24000000.0,2023,31191600000,2.0,20~25,5.0,3119.2,100억이상
114,27,south america,2023,MF,right,2.0,83,83,4.0,26500000.0,2023,34440725000,3.0,25~30,5.0,3444.1,100억이상
115,30,europe,2023,DF,left,2.0,83,83,3.0,19000000.0,2023,24693350000,3.0,25~30,5.0,2469.3,100억이상
116,27,europe,2021,MF,right,2.0,83,83,3.0,26500000.0,2021,34440725000,3.0,25~30,5.0,3444.1,100억이상
117,28,south america,2021,GK,right,2.0,83,84,1.0,21000000.0,2021,27292650000,3.0,25~30,5.0,2729.3,100억이상
118,28,europe,2021,GK,right,2.0,83,84,1.0,21000000.0,2021,27292650000,3.0,25~30,5.0,2729.3,100억이상
119,28,africa,2022,MF,right,2.0,83,83,3.0,21000000.0,2022,27292650000,3.0,25~30,5.0,2729.3,100억이상
120,29,europe,2021,MF,right,3.0,83,83,4.0,25500000.0,2021,33141075000,3.0,25~30,5.0,3314.1,100억이상
121,30,europe,2021,DF,right,3.0,83,83,2.0,19000000.0,2021,24693350000,3.0,25~30,5.0,2469.3,100억이상
122,28,europe,2023,MF,left,3.0,83,83,3.0,21000000.0,2023,27292650000,3.0,25~30,5.0,2729.3,100억이상
123,26,south america,2020,MF,right,3.0,83,84,4.0,30500000.0,2020,39639325000,2.0,20~25,5.0,3963.9,100억이상
124,30,south america,2021,DF,left,3.0,83,83,3.0,19000000.0,2021,24693350000,3.0,25~30,5.0,2469.3,100억이상
125,31,south america,2019,DF,right,4.0,83,83,3.0,17500000.0,2019,22743875000,4.0,30~35,5.0,2274.4,100억이상
126,29,europe,2022,GK,right,2.0,83,84,1.0,20000000.0,2022,25993000000,3.0,25~30,5.0,2599.3,100억이상
127,30,europe,2019,MF,left,3.0,83,83,4.0,24500000.0,2019,31841425000,3.0,25~30,5.0,3184.1,100억이상
128,31,europe,2020,GK,left,2.0,83,83,1.0,15500000.0,2020,20144575000,4.0,30~35,5.0,2014.5,100억이상
129,30,europe,2022,GK,left,3.0,83,83,1.0,16500000.0,2022,21444225000,3.0,25~30,5.0,2144.4,100억이상
130,29,europe,2021,GK,right,3.0,83,84,1.0,20000000.0,2021,25993000000,3.0,25~30,5.0,2599.3,100억이상
131,29,europe,2021,MF,right,3.0,83,83,2.0,20000000.0,2021,25993000000,3.0,25~30,5.0,2599.3,100억이상
132,29,europe,2021,DF,right,3.0,83,83,2.0,20000000.0,2021,25993000000,3.0,25~30,5.0,2599.3,100억이상
133,31,south america,2020,MF,right,3.0,83,83,3.0,17500000.0,2020,22743875000,4.0,30~35,5.0,2274.4,100억이상
134,33,europe,2020,GK,right,3.0,83,83,1.0,13000000.0,2020,16895450000,4.0,30~35,5.0,1689.5,100억이상
135,30,europe,2019,MF,left,3.0,83,83,4.0,24000000.0,2019,31191600000,3.0,25~30,5.0,3119.2,100억이상
136,33,europe,2021,GK,right,2.0,83,83,1.0,13000000.0,2021,16895450000,4.0,30~35,5.0,1689.5,100억이상
137,34,europe,2019,MF,right,3.0,83,83,2.0,8000000.0,2019,10397200000,4.0,30~35,5.0,1039.7,100억이상
138,35,europe,2021,GK,right,3.0,83,83,1.0,6000000.0,2021,7797900000,4.0,30~35,4.0,779.8,50억~100억
139,26,europe,2021,GK,right,1.0,82,85,1.0,19500000.0,2021,25343175000,2.0,20~25,5.0,2534.3,100억이상
140,18,europe,2021,DF,right,2.0,82,91,2.0,27000000.0,2021,35090550000,1.0,15~20,5.0,3509.1,100억이상
141,21,south america,2024,MF,right,1.0,82,90,4.0,32500000.0,2024,42238625000,2.0,20~25,5.0,4223.9,100억이상
142,19,europe,2021,GK,right,3.0,82,93,1.0,29000000.0,2021,37689850000,1.0,15~20,5.0,3769.0,100억이상
143,30,south america,2018,MF,right,1.0,82,82,2.0,16500000.0,2018,21444225000,3.0,25~30,5.0,2144.4,100억이상
144,30,south america,2021,GK,right,1.0,82,82,1.0,14000000.0,2021,18195100000,3.0,25~30,5.0,1819.5,100억이상
145,21,europe,2024,MF,right,1.0,82,86,4.0,29000000.0,2024,37689850000,2.0,20~25,5.0,3769.0,100억이상
146,21,south america,2023,ST,left,2.0,82,89,4.0,31500000.0,2023,40938975000,2.0,20~25,5.0,4093.9,100억이상
147,27,europe,2022,MF,right,2.0,82,83,4.0,26000000.0,2022,33790900000,3.0,25~30,5.0,3379.1,100억이상
148,28,europe,2022,MF,right,2.0,82,83,3.0,20000000.0,2022,25993000000,3.0,25~30,5.0,2599.3,100억이상
149,24,europe,2022,MF,left,2.0,82,87,5.0,29500000.0,2022,38339675000,2.0,20~25,5.0,3834.0,100억이상
150,22,europe,2021,MF,right,2.0,82,88,4.0,30500000.0,2021,39639325000,2.0,20~25,5.0,3963.9,100억이상
151,23,europe,2021,DF,right,2.0,82,86,2.0,24500000.0,2021,31841425000,2.0,20~25,5.0,3184.1,100억이상
152,23,europe,2023,MF,left,2.0,82,86,4.0,29000000.0,2023,37689850000,2.0,20~25,5.0,3769.0,100억이상
153,24,europe,2023,DF,right,2.0,82,88,4.0,25500000.0,2023,33141075000,2.0,20~25,5.0,3314.1,100억이상
154,23,europe,2022,DF,left,2.0,82,89,2.0,26500000.0,2022,34440725000,2.0,20~25,5.0,3444.1,100억이상
155,25,africa,2023,MF,right,1.0,82,88,3.0,25500000.0,2023,33141075000,2.0,20~25,5.0,3314.1,100억이상
156,25,south america,2023,MF,left,1.0,82,84,4.0,26500000.0,2023,34440725000,2.0,20~25,5.0,3444.1,100억이상
157,24,europe,2021,ST,right,3.0,82,87,3.0,30000000.0,2021,38989500000,2.0,20~25,5.0,3899.0,100억이상
158,26,europe,2022,MF,right,2.0,82,83,4.0,26000000.0,2022,33790900000,2.0,20~25,5.0,3379.1,100억이상
159,25,europe,2022,DF,right,2.0,82,84,2.0,22500000.0,2022,29242125000,2.0,20~25,5.0,2924.2,100억이상
160,27,africa,2022,DF,right,2.0,82,82,3.0,18500000.0,2022,24043525000,3.0,25~30,5.0,2404.4,100억이상
161,25,south america,2020,MF,left,2.0,82,87,4.0,29500000.0,2020,38339675000,2.0,20~25,5.0,3834.0,100억이상
162,27,south america,2022,DF,right,2.0,82,83,2.0,21000000.0,2022,27292650000,3.0,25~30,5.0,2729.3,100억이상
163,25,europe,2022,ST,right,3.0,82,85,3.0,28500000.0,2022,37040025000,2.0,20~25,5.0,3704.0,100억이상
164,29,europe,2021,GK,right,3.0,82,84,1.0,18000000.0,2021,23393700000,3.0,25~30,5.0,2339.4,100억이상
165,27,europe,2021,ST,right,2.0,82,82,4.0,23500000.0,2021,30541775000,3.0,25~30,5.0,3054.2,100억이상
166,27,africa,2021,ST,right,2.0,82,83,3.0,26000000.0,2021,33790900000,3.0,25~30,5.0,3379.1,100억이상
167,26,europe,2020,MF,left,2.0,82,83,4.0,26000000.0,2020,33790900000,2.0,20~25,5.0,3379.1,100억이상
168,25,europe,2022,ST,right,2.0,82,85,4.0,28500000.0,2022,37040025000,2.0,20~25,5.0,3704.0,100억이상
169,27,south america,2022,DF,right,3.0,82,83,2.0,21000000.0,2022,27292650000,3.0,25~30,5.0,2729.3,100억이상
170,29,europe,2019,DF,left,2.0,82,83,2.0,19500000.0,2019,25343175000,3.0,25~30,5.0,2534.3,100억이상
171,26,europe,2022,MF,left,2.0,82,83,3.0,21500000.0,2022,27942475000,2.0,20~25,5.0,2794.2,100억이상
172,26,europe,2020,MF,right,4.0,82,85,4.0,27000000.0,2020,35090550000,2.0,20~25,5.0,3509.1,100억이상
173,29,south america,2022,MF,right,3.0,82,82,4.0,21500000.0,2022,27942475000,3.0,25~30,5.0,2794.2,100억이상
174,30,europe,2020,ST,right,3.0,82,82,4.0,21000000.0,2020,27292650000,3.0,25~30,5.0,2729.3,100억이상
175,27,europe,2021,GK,right,3.0,82,85,1.0,18500000.0,2021,24043525000,3.0,25~30,5.0,2404.4,100억이상
176,29,europe,2022,MF,right,2.0,82,82,2.0,17000000.0,2022,22094050000,3.0,25~30,5.0,2209.4,100억이상
177,30,europe,2019,MF,left,2.0,82,82,5.0,21000000.0,2019,27292650000,3.0,25~30,5.0,2729.3,100억이상
178,32,europe,2020,DF,left,2.0,82,82,3.0,12500000.0,2020,16245625000,4.0,30~35,5.0,1624.6,100억이상
179,31,europe,2019,ST,right,2.0,82,82,4.0,20000000.0,2019,25993000000,4.0,30~35,5.0,2599.3,100억이상
180,29,europe,2022,ST,right,3.0,82,82,4.0,22000000.0,2022,28592300000,3.0,25~30,5.0,2859.2,100억이상
181,30,south america,2021,MF,left,3.0,82,82,4.0,21000000.0,2021,27292650000,3.0,25~30,5.0,2729.3,100억이상
182,30,europe,2019,ST,left,2.0,82,82,4.0,21500000.0,2019,27942475000,3.0,25~30,5.0,2794.2,100억이상
183,33,europe,2020,MF,right,2.0,82,82,3.0,9000000.0,2020,11696850000,4.0,30~35,5.0,1169.7,100억이상
184,29,europe,2021,MF,right,2.0,82,82,2.0,17000000.0,2021,22094050000,3.0,25~30,5.0,2209.4,100억이상
185,27,europe,2021,MF,right,3.0,82,82,4.0,23000000.0,2021,29891950000,3.0,25~30,5.0,2989.2,100억이상
186,31,europe,2021,DF,left,3.0,82,82,2.0,15000000.0,2021,19494750000,4.0,30~35,5.0,1949.5,100억이상
187,31,south america,2020,DF,right,3.0,82,82,2.0,15000000.0,2020,19494750000,4.0,30~35,5.0,1949.5,100억이상
188,32,south america,2021,DF,right,2.0,82,82,2.0,12500000.0,2021,16245625000,4.0,30~35,5.0,1624.6,100억이상
189,31,europe,2022,GK,right,3.0,82,82,1.0,13500000.0,2022,17545275000,4.0,30~35,5.0,1754.5,100억이상
190,32,europe,2020,GK,left,2.0,82,82,1.0,12500000.0,2020,16245625000,4.0,30~35,5.0,1624.6,100억이상
191,32,europe,2020,DF,right,3.0,82,82,2.0,12500000.0,2020,16245625000,4.0,30~35,5.0,1624.6,100억이상
192,31,europe,2022,GK,right,2.0,82,82,1.0,13500000.0,2022,17545275000,4.0,30~35,5.0,1754.5,100억이상
193,32,south america,2020,MF,right,3.0,82,82,3.0,12500000.0,2020,16245625000,4.0,30~35,5.0,1624.6,100억이상
194,35,south america,2019,DF,right,4.0,82,82,4.0,4800000.0,2019,6238320000,4.0,30~35,4.0,623.8,50억~100억
195,37,europe,2019,ST,right,3.0,82,82,3.0,8000000.0,2019,10397200000,5.0,35~40,5.0,1039.7,100억이상
196,36,europe,2019,GK,left,4.0,82,82,1.0,3000000.0,2019,3898950000,4.0,30~35,3.0,389.9,10억~50억
197,24,europe,2022,DF,right,2.0,81,86,4.0,20000000.0,2022,25993000000,2.0,20~25,5.0,2599.3,100억이상
198,22,europe,2022,MF,right,1.0,81,86,4.0,24000000.0,2022,31191600000,2.0,20~25,5.0,3119.2,100억이상
199,30,europe,2021,ST,right,1.0,81,81,4.0,17000000.0,2021,22094050000,3.0,25~30,5.0,2209.4,100억이상
200,24,europe,"Jun 30, 2019",MF,left,2.0,81,84,4.0,22500000.0,2019,29242125000,2.0,20~25,5.0,2924.2,100억이상
201,25,europe,2022,MF,right,2.0,81,84,3.0,18500000.0,2022,24043525000,2.0,20~25,5.0,2404.4,100억이상
202,24,europe,2025,ST,right,2.0,81,87,4.0,24500000.0,2025,31841425000,2.0,20~25,5.0,3184.1,100억이상
203,23,south america,2024,MF,right,1.0,81,87,4.0,24500000.0,2024,31841425000,2.0,20~25,5.0,3184.1,100억이상
204,22,europe,2022,DF,right,2.0,81,88,2.0,21500000.0,2022,27942475000,2.0,20~25,5.0,2794.2,100억이상
205,23,europe,2019,GK,right,1.0,81,86,1.0,17000000.0,2019,22094050000,2.0,20~25,5.0,2209.4,100억이상
206,24,europe,2021,MF,right,3.0,81,88,4.0,24500000.0,2021,31841425000,2.0,20~25,5.0,3184.1,100억이상
207,24,europe,2023,DF,right,3.0,81,85,3.0,19000000.0,2023,24693350000,2.0,20~25,5.0,2469.3,100억이상
208,25,europe,2023,MF,right,2.0,81,85,3.0,19500000.0,2023,25343175000,2.0,20~25,5.0,2534.3,100억이상
209,25,south america,2020,ST,right,1.0,81,84,3.0,22500000.0,2020,29242125000,2.0,20~25,5.0,2924.2,100억이상
210,31,south america,2022,ST,right,3.0,81,81,3.0,16000000.0,2022,20794400000,4.0,30~35,5.0,2079.4,100억이상
211,25,europe,2023,ST,right,2.0,81,83,4.0,22000000.0,2023,28592300000,2.0,20~25,5.0,2859.2,100억이상
212,25,europe,2022,DF,left,2.0,81,84,2.0,18500000.0,2022,24043525000,2.0,20~25,5.0,2404.4,100억이상
213,24,europe,2021,ST,left,3.0,81,88,4.0,25500000.0,2021,33141075000,2.0,20~25,5.0,3314.1,100억이상
214,24,europe,2022,MF,right,2.0,81,84,3.0,22500000.0,2022,29242125000,2.0,20~25,5.0,2924.2,100억이상
215,23,europe,2022,DF,left,2.0,81,86,3.0,20000000.0,2022,25993000000,2.0,20~25,5.0,2599.3,100억이상
216,27,europe,2021,MF,right,2.0,81,82,3.0,17000000.0,2021,22094050000,3.0,25~30,5.0,2209.4,100억이상
217,26,europe,"Jun 30, 2019",DF,right,2.0,81,84,3.0,18000000.0,2019,23393700000,2.0,20~25,5.0,2339.4,100억이상
